,Date,Price
397,2008-09-29 00:00:00,875000
398,2008-09-30 00:00:00,367500
399,2008-09-30 00:00:00,372000
400,2008-09-30 00:00:00,549000
401,2008-09-30 00:00:00,575000
402,2008-09-30 00:00:00,594000
403,2008-09-30 00:00:00,662500
404,2008-10-01 00:00:00,455000
405,2008-10-02 00:00:00,390000
406,2008-10-03 00:00:00,332000
407,2008-10-03 00:00:00,380000
408,2008-10-03 00:00:00,405000
409,2008-10-03 00:00:00,460000
410,2008-10-07 00:00:00,355000
411,2008-10-07 00:00:00,473000
412,2008-10-07 00:00:00,560000
413,2008-10-08 00:00:00,347000
414,2008-10-08 00:00:00,359950
415,2008-10-08 00:00:00,1030000
416,2008-10-09 00:00:00,338500
417,2008-10-10 00:00:00,378000
418,2008-10-10 00:00:00,400000
419,2008-10-10 00:00:00,453000
420,2008-10-10 00:00:00,476600
421,2008-10-10 00:00:00,677500
422,2008-10-10 00:00:00,749950
423,2008-10-12 00:00:00,390000
424,2008-10-13 00:00:00,435000
425,2008-10-13 00:00:00,507500
426,2008-10-14 00:00:00,350000
427,2008-10-14 00:00:00,399000
428,2008-10-14 00:00:00,420000
429,2008-10-14 00:00:00,450000
430,2008-10-14 00:00:00,525000
431,2008-10-14 00:00:00,595000
432,2008-10-14 00:00:00,910000
433,2008-10-15 00:00:00,395000
434,2008-10-15 00:00:00,552500
435,2008-10-16 00:00:00,375000
436,2008-10-16 00:00:00,440000
437,2008-10-17 00:00:00,352000
438,2008-10-17 00:00:00,495000
439,2008-10-17 00:00:00,530000
440,2008-10-17 00:00:00,690000
441,2008-10-18 00:00:00,342000
442,2008-10-18 00:00:00,420000
443,2008-10-18 00:00:00,575000
444,2008-10-18 00:00:00,612000
445,2008-10-20 00:00:00,349000
446,2008-10-20 00:00:00,350000
447,2008-10-20 00:00:00,480000
448,2008-10-21 00:00:00,342000
449,2008-10-21 00:00:00,372500
450,2008-10-21 00:00:00,375000
451,2008-10-21 00:00:00,408000
452,2008-10-21 00:00:00,515000
453,2008-10-22 00:00:00,370000
454,2008-10-22 00:00:00,657500
455,2008-10-23 00:00:00,340000
456,2008-10-23 00:00:00,369000
457,2008-10-23 00:00:00,419950
458,2008-10-23 00:00:00,455000
459,2008-10-23 00:00:00,495000
460,2008-10-23 00:00:00,765000
461,2008-10-24 00:00:00,361000
462,2008-10-24 00:00:00,425000
463,2008-10-24 00:00:00,498600
464,2008-10-24 00:00:00,570000
465,2008-10-27 00:00:00,330250
466,2008-10-27 00:00:00,337000
467,2008-10-27 00:00:00,360000
468,2008-10-27 00:00:00,440000
469,2008-10-27 00:00:00,475000
470,2008-10-27 00:00:00,510000
471,2008-10-27 00:00:00,1120000
472,2008-10-28 00:00:00,340000
473,2008-10-28 00:00:00,676000
474,2008-10-29 00:00:00,420000
475,2008-10-30 00:00:00,585000
476,2008-10-30 00:00:00,720000
477,2008-10-31 00:00:00,372000
478,2008-10-31 00:00:00,395000
479,2008-10-31 00:00:00,544000
480,2008-10-31 00:00:00,581650
481,2008-10-31 00:00:00,800000
482,2008-11-03 00:00:00,330000
483,2008-11-03 00:00:00,330000
484,2008-11-03 00:00:00,350000
485,2008-11-03 00:00:00,360000
486,2008-11-03 00:00:00,424000
487,2008-11-03 00:00:00,583000
488,2008-11-05 00:00:00,359950
